painting	paintingLabel	depictedLabels	depicteds	Genre
http://www.wikidata.org/entity/Q18572318	Summer	cherry@summer@vegetable@man@grape@Cynara scolymus@hazelnut@fruit	http://www.wikidata.org/entity/Q196@http://www.wikidata.org/entity/Q1313@http://www.wikidata.org/entity/Q11004@http://www.wikidata.org/entity/Q8441@http://www.wikidata.org/entity/Q10978@http://www.wikidata.org/entity/Q134609@http://www.wikidata.org/entity/Q578307@http://www.wikidata.org/entity/Q3314483	Allegory
http://www.wikidata.org/entity/Q3924777	Prudence	woman@snake@mirror@dress@sitting@prudence@throne@sandal	http://www.wikidata.org/entity/Q467@http://www.wikidata.org/entity/Q2102@http://www.wikidata.org/entity/Q35197@http://www.wikidata.org/entity/Q200539@http://www.wikidata.org/entity/Q1144593@http://www.wikidata.org/entity/Q1165788@http://www.wikidata.org/entity/Q189233@http://www.wikidata.org/entity/Q131704	Allegory
http://www.wikidata.org/entity/Q18572482	Europe Civilized by Sciences, Arts and Humanities	Europe	http://www.wikidata.org/entity/Q46	Allegory
http://www.wikidata.org/entity/Q18573806	Allegory of Military Life	Earth@horse@drum@map@sphere@Jupiter@cannon@Minerva@infantry@Heracles@strategy@military officer@putto@general staff@discussion@soldier@musician	http://www.wikidata.org/entity/Q2@http://www.wikidata.org/entity/Q726@http://www.wikidata.org/entity/Q11404@http://www.wikidata.org/entity/Q4006@http://www.wikidata.org/entity/Q12507@http://www.wikidata.org/entity/Q4649@http://www.wikidata.org/entity/Q81103@http://www.wikidata.org/entity/Q126916@http://www.wikidata.org/entity/Q29171@http://www.wikidata.org/entity/Q122248@http://www.wikidata.org/entity/Q185451@http://www.wikidata.org/entity/Q189290@http://www.wikidata.org/entity/Q284865@http://www.wikidata.org/entity/Q495430@http://www.wikidata.org/entity/Q3030248@http://www.wikidata.org/entity/Q4991371@http://www.wikidata.org/entity/Q639669	Allegory
http://www.wikidata.org/entity/Q18523114	Peace and Justice	peace@justice	http://www.wikidata.org/entity/Q454@http://www.wikidata.org/entity/Q5167661	Allegory
http://www.wikidata.org/entity/Q18573883	The Fight between Germany and From for the Rhine	France@Germany@Rhine	http://www.wikidata.org/entity/Q142@http://www.wikidata.org/entity/Q183@http://www.wikidata.org/entity/Q584	Allegory
http://www.wikidata.org/entity/Q18573901	Allegory of France as Minerva Trampling Ignorance and Crowning Virtue	France@woman@book@sphere@spear@symbol@scythe@Minerva@Saturn@virtue@crown@genius@spotting scope@prudence@sculpture in the round	http://www.wikidata.org/entity/Q142@http://www.wikidata.org/entity/Q467@http://www.wikidata.org/entity/Q571@http://www.wikidata.org/entity/Q12507@http://www.wikidata.org/entity/Q44475@http://www.wikidata.org/entity/Q80071@http://www.wikidata.org/entity/Q130912@http://www.wikidata.org/entity/Q126916@http://www.wikidata.org/entity/Q134388@http://www.wikidata.org/entity/Q157811@http://www.wikidata.org/entity/Q170984@http://www.wikidata.org/entity/Q654361@http://www.wikidata.org/entity/Q1752914@http://www.wikidata.org/entity/Q1165788@http://www.wikidata.org/entity/Q2520013	Allegory
http://www.wikidata.org/entity/Q18573429	Allegory of Arts	astronomy@woman@book@violin@pyramid@compass@score@sitting@sculpture in the round	http://www.wikidata.org/entity/Q333@http://www.wikidata.org/entity/Q467@http://www.wikidata.org/entity/Q571@http://www.wikidata.org/entity/Q8355@http://www.wikidata.org/entity/Q12516@http://www.wikidata.org/entity/Q103896@http://www.wikidata.org/entity/Q187947@http://www.wikidata.org/entity/Q1144593@http://www.wikidata.org/entity/Q2520013	Allegory
http://www.wikidata.org/entity/Q3932055	The Reign of Comus	Mercury@hill@Dionysus@Cupid@Eros@Venus@Janus@Comus@string instrument@broad-leaved tree@plain@lyre@Arion@Anteros@Bacchus@Nicaea	http://www.wikidata.org/entity/Q1150@http://www.wikidata.org/entity/Q54050@http://www.wikidata.org/entity/Q41680@http://www.wikidata.org/entity/Q5011@http://www.wikidata.org/entity/Q121973@http://www.wikidata.org/entity/Q47652@http://www.wikidata.org/entity/Q167685@http://www.wikidata.org/entity/Q1780711@http://www.wikidata.org/entity/Q1798603@http://www.wikidata.org/entity/Q148993@http://www.wikidata.org/entity/Q160091@http://www.wikidata.org/entity/Q201129@http://www.wikidata.org/entity/Q312422@http://www.wikidata.org/entity/Q572133@http://www.wikidata.org/entity/Q645312@http://www.wikidata.org/entity/Q739037	Allegory
http://www.wikidata.org/entity/Q18447502	Allegory of Vigilance	plant@man@bracelet@rooster	http://www.wikidata.org/entity/Q756@http://www.wikidata.org/entity/Q8441@http://www.wikidata.org/entity/Q201664@http://www.wikidata.org/entity/Q2216236	Allegory
http://www.wikidata.org/entity/Q18572283	Spring	flower@spring@man@garland	http://www.wikidata.org/entity/Q506@http://www.wikidata.org/entity/Q1312@http://www.wikidata.org/entity/Q8441@http://www.wikidata.org/entity/Q756600	Allegory
http://www.wikidata.org/entity/Q18572291	Winter	flower@winter@man@trunk@head hair@garland@lemon@mouth@tree@mushroom@Hedera@root@sword	http://www.wikidata.org/entity/Q506@http://www.wikidata.org/entity/Q1311@http://www.wikidata.org/entity/Q8441@http://www.wikidata.org/entity/Q193472@http://www.wikidata.org/entity/Q336128@http://www.wikidata.org/entity/Q756600@http://www.wikidata.org/entity/Q1093742@http://www.wikidata.org/entity/Q9635@http://www.wikidata.org/entity/Q10884@http://www.wikidata.org/entity/Q83093@http://www.wikidata.org/entity/Q26771@http://www.wikidata.org/entity/Q41500@http://www.wikidata.org/entity/Q12791	Allegory
http://www.wikidata.org/entity/Q18572495	Triumph of French Painting: Apotheosis of Poussin, Le Sueur and Le Brun	woman@book@nudity@scythe@lyre@apotheosis@painter	http://www.wikidata.org/entity/Q467@http://www.wikidata.org/entity/Q571@http://www.wikidata.org/entity/Q10791@http://www.wikidata.org/entity/Q130912@http://www.wikidata.org/entity/Q201129@http://www.wikidata.org/entity/Q580995@http://www.wikidata.org/entity/Q1028181	Allegory
http://www.wikidata.org/entity/Q18573086	Terrestrial Venus with Eros and Celestial Venus with Anteros and Two Cupids	woman@Cupid@child@nudity@bow@vegetation@Venus@quiver@shield@broad-leaved tree@Grotesque art@Anteros	http://www.wikidata.org/entity/Q467@http://www.wikidata.org/entity/Q5011@http://www.wikidata.org/entity/Q7569@http://www.wikidata.org/entity/Q10791@http://www.wikidata.org/entity/Q46311@http://www.wikidata.org/entity/Q187997@http://www.wikidata.org/entity/Q47652@http://www.wikidata.org/entity/Q222560@http://www.wikidata.org/entity/Q131559@http://www.wikidata.org/entity/Q148993@http://www.wikidata.org/entity/Q16640163@http://www.wikidata.org/entity/Q572133	Allegory
http://www.wikidata.org/entity/Q18573674	Allegory of Justice	woman@weighing scale@sword@putto@justice@sitting	http://www.wikidata.org/entity/Q467@http://www.wikidata.org/entity/Q134566@http://www.wikidata.org/entity/Q12791@http://www.wikidata.org/entity/Q284865@http://www.wikidata.org/entity/Q5167661@http://www.wikidata.org/entity/Q1144593	Allegory
http://www.wikidata.org/entity/Q18573882	Modesty Presenting Painting to the Academy	woman@Cupid@education	http://www.wikidata.org/entity/Q467@http://www.wikidata.org/entity/Q5011@http://www.wikidata.org/entity/Q8434	Allegory
http://www.wikidata.org/entity/Q18683145	The King governs by himself, 1661	lion@woman	http://www.wikidata.org/entity/Q140@http://www.wikidata.org/entity/Q467	Allegory
http://www.wikidata.org/entity/Q18572483	Arts Pay Hommage to Concord	art	http://www.wikidata.org/entity/Q735	Allegory
http://www.wikidata.org/entity/Q18683144	Order restored in the Kingdom's finances	France@woman	http://www.wikidata.org/entity/Q142@http://www.wikidata.org/entity/Q467	Allegory
http://www.wikidata.org/entity/Q18571777	Inspiration	man@writing	http://www.wikidata.org/entity/Q8441@http://www.wikidata.org/entity/Q37260	Allegory
http://www.wikidata.org/entity/Q18572287	Autumn	autumn@grape	http://www.wikidata.org/entity/Q1314@http://www.wikidata.org/entity/Q10978	Allegory
